Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
"Coach Driver in Charter, Tour, or Long-Distance Service",Bus & Coach Drivers (8331),8331,833,83,Bus and Tram Drivers,,VIP Bus Connection OHG,Direct Employer,2026-06-26,Part-time,,"Safely and punctually conducts bus journeys for various travel groups in charter, tour, or long-distance service, takes care of passengers, and maintains open and reliable communication with dispatch.",Class D driving license; customer-oriented and self-reliant working style; basic English language skills; willingness to work weekends; punctual and reliable; minimum secondary school certificate or equivalent.,"Choice between long-distance (Flixbus), tour, or charter service to suit personal circumstances; variety and a supportive team; available in full-time, part-time, or mini-job format; permanent employment contract.",On-site,https://www.stepstone.de/stellenangebote--Reisebusfahrer-m-w-d-im-Charter-Tournee-oder-Fernlinienverkehr-in-Voll-und-Teilzeit-oder-als-Minijob-Tempelhof-Berlin-Deutschland-VIP-Bus-Connection-OHG--13885628-inline.html,Tempelhof,,job-240,LOGISTICS
Tractor Operator,Other/Non-Logistics (9999),6121,612,61,Livestock and Dairy Producers,,Knut Kucznik,Direct Employer,2026-06-26,Full-time,,Performs landscape maintenance tasks using a tractor and assists with moving livestock and repositioning fences on an agricultural property.,Class T driving licence required; interest in working with sheep; knowledge of soil cultivation and crop management work.,"Full-time 40 hours/week, Monday to Sunday on 5 days between 08:00–16:30; permanent contract; salary by agreement.",On-site,https://www.stepstone.de/stellenangebote--Traktorist-m-w-d-Altlandsberg-Knut-Kucznik--13893449-inline.html,Altlandsberg,,job-241,LOGISTICS
Working Student Communication and Organization,Other/Non-Logistics (9999),2432,243,24,Public Relations Professionals,Berlin,SafeDriver Group GmbH,Direct Employer,2026-06-26,Part-time,,"Supports editorial maintenance of the website and member communications, manages social media channels, and provides organisational assistance for projects and events.","Ongoing university studies with initial practical experience in communications, PR, project coordination or association work; basic political understanding with interest in mobility and digitalisation; structured and reliable working style.","High personal responsibility in an innovative and growing market; flat hierarchies and fast decision-making; training, coaching and development opportunities.",On-site,https://www.stepstone.de/stellenangebote--Werkstudentin-m-w-d-Kommunikation-Organisation-Berlin-SafeDriver-Group-GmbH--14199050-inline.html,Berlin,,job-242,LOGISTICS
Passenger Transport Driver,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Rollmops-soziale Dienste gGmbH,Direct Employer,2026-06-26,Part-time,,"Provides transport services for people in need of assistance and disabled individuals, picking them up at home in the morning and returning them in the afternoon, on a mini or midi job basis.",Minimum 3 years of driving experience; German language required; Class B driving licence required.,Flexible arrangement suitable for retirees or early retirees; morning pickups between 07:00–08:30 and afternoon returns between 15:30–17:00.,On-site,https://www.stepstone.de/stellenangebote--Fahrer-in-fuer-Personenbefoerderung-Berlin-Rollmops-soziale-Dienste-gGmbH--12108911-inline.html,Berlin,,job-243,LOGISTICS
Freight Train Driver,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,Hessen,FRACHTbahn Traktion GmbH,Direct Employer,2026-06-25,Full-time,,"Independently and safely operates freight trains on the German rail network, carrying out all required preparatory and accompanying tasks.",Completed train driver qualification per TfV or VDV; European train driver licence with requirement classes A and B2; full psychological and occupational medical fitness; good written and spoken German.,Permanent contract with long-term job security; Christmas bonus and additional bonuses; Sunday and public holiday supplements; BahnCard 100; passenger journeys 100% reimbursed; hotel accommodation provided; diverse advancement opportunities.,On-site,https://www.stepstone.de/stellenangebote--Lokfuehrer-in-Gueterverkehr-m-w-d-Frankfurt-Leipzig-Berlin-Fulda-Nuernberg-FRACHTbahn-Traktion-GmbH--13822003-inline.html,Frankfurt,,job-244,LOGISTICS
Service Technician / Electrician for Household Appliances,Other/Non-Logistics (9999),7412,741,74,Electronics Mechanics and Servicers,Brandenburg,expert ESC Brandenburg GmbH,Direct Employer,2026-06-25,Full-time,,"Responsible for route planning and follow-up, delivers, installs and repairs electrical household appliances at customers' homes, and provides customer support and advice on new installations and repairs.",Experience as a delivery/service driver or technical vocational training desirable but not essential; Class B driving licence; technical knowledge and manual dexterity (electrical certification advantageous); good written and spoken German; ability to work independently.,Attractive employee discounts; free beverages; free parking on site; joint Christmas meals and events; extensive further training opportunities; varied workdays; detailed personalised onboarding; good promotion prospects.,On-site,https://www.stepstone.de/stellenangebote--Servicetechniker-Elektrotechniker-fuer-Haushaltsgeraete-m-w-x-Koenigs-Wusterhausen-Rangsdorf-expert-ESC-Brandenburg-GmbH--14125567-inline.html,"Königs Wusterhausen, Rangsdorf",,job-245,LOGISTICS
Rail Traffic Controller,Rail Traffic Control / Signal Operators (8312),8312,831,83,"Railway Brake, Signal and Switch Operators",Berlin,Deutsche Bahn AG Region Ost,Direct Employer,2026-06-25,Part-time,,"Retraining programme (full-time, 39 hours/week) to become a rail traffic controller, combining theoretical instruction at a training centre with practical placements, operating train routes via computer by setting routes, switches and signals.","Completed vocational qualification in any recognised trade, or alternatively general/technical university entrance qualification plus at least 2 years of work experience.",16 free rail journeys within Germany per year; further travel discounts including DB job ticket for the daily commute; discounted travel options for family and friends; market-rate remuneration.,On-site,https://www.stepstone.de/stellenangebote--Quereinsteiger-in-als-Zugverkehrssteuerer-w-m-d-Berlin-Deutsche-Bahn-AG-Region-Ost--14059930-inline.html,Berlin,,job-246,LOGISTICS
Tow Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Jens Schulze,Direct Employer,2026-06-25,Full-time,,"Tows and recovers motor vehicles following breakdowns, accidents or traffic obstructions, provides roadside assistance such as jump-starts and tyre changes, and handles vehicle impoundments, documentation and vehicle maintenance.",Class C or CE driving licence with key number 95 mandatory (Class B insufficient); physically resilient and flexible including shift and on-call duty; reliable and conscientious handling of the emergency vehicle; professional conduct with customers.,Central workplace easily accessible by public transport; immediate start; thorough onboarding by experienced colleagues; full-time position with varied work; pleasant family-like working environment; secure job with above-average pay.,On-site,https://www.stepstone.de/stellenangebote--Abschleppwagenfahrer-m-w-d-in-Berlin-Spandau-Berlin-Jens-Schulze--14197450-inline.html,Berlin,,job-247,LOGISTICS
Career Changer for Retraining as Train Driver at S-Bahn Berlin,Locomotive & Train Drivers (8311),8311,831,83,Locomotive Engine Drivers,Berlin,Deutsche Bahn AG,Direct Employer,2026-06-25,Full-time,,"Full-time retraining programme (39 hours/week including shift work) combining theoretical and practical instruction using simulators and tablets, leading to the European train driver licence and responsibility for safe, punctual rail operations.","Completed vocational training in a recognised occupation is advantageous; high commitment and motivation for technical matters; consistent adherence to applicable standards, laws and regulations; customer-oriented, solution-focused, and confident manner.",16 free rail journeys within Germany per year; DB job ticket for daily commute; discounted travel for family and friends; employee shopping discounts every month.,On-site,https://www.stepstone.de/stellenangebote--Quereinsteiger-in-fuer-Umschulung-zum-zur-Lokfuehrer-in-bei-der-S-Bahn-Berlin-GmbH-Berlin-Deutsche-Bahn-AG--13496399-inline.html,Berlin,,job-248,LOGISTICS
Warehouse and Sales Assistant,Wholesale & Retail Trade Workers (5223),5223,522,52,Shop Sales Assistants,Berlin,Max Witte GmbH,Direct Employer,2026-06-25,Part-time,,"Picks and packs goods, advises and serves customers in sales, assists with dispatch and office tasks including preparing quotes and monitoring delivery dates, and occasionally covers deliveries to customers.","Physically and mentally resilient, including with heavier goods; multitasking ability; reliability, flexibility and teamwork; friendly and customer-oriented manner; Class B driving licence advantageous; career changers explicitly welcome.",Full-time position with varied tasks (part-time possible); secure job at an established company; family-like working atmosphere with short decision-making processes; fair remuneration and long-term prospects.,On-site,https://www.stepstone.de/stellenangebote--Mitarbeiter-m-w-d-Lager-Verkauf-Vollzeit-Quereinsteiger-willkommen-Berlin-Max-Witte-GmbH--14133283-inline.html,Berlin,,job-249,LOGISTICS
Parcel Delivery Specialist,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",,Twins Logistics GmbH,Direct Employer,2026-06-25,Full-time,,"Delivers parcel consignments professionally to private and business customers, independently plans daily routes, operates scanning systems for shipment tracking, and ensures service-oriented customer contact.","Class B driving licence; friendly manner with customers; neat appearance; reliability, punctuality and ability to work in a team.",Paid theoretical training before starting; own delivery route after successful completion; ongoing support throughout onboarding and daily work; hourly rate of €16.20.,On-site,https://www.stepstone.de/stellenangebote--Fachkraft-Kurier-Express-und-Postdienstleistungen-m-w-d-Neuenhagen-bei-Berlin-Twins-Logistics-GmbH--14058166-inline.html,Neuenhagen bei Berlin,,job-250,LOGISTICS
Production Worker,Assembly & Production Helpers (9329),9329,932,93,Manufacturing Labourers Not Elsewhere Classified,,Carsten Hein Werkzeugbau,Direct Employer,2026-06-24,Full-time,,"Operates and loads production machines for plastic parts manufacturing, performing quality control, packaging, and inventory monitoring. Tasks include both manual and machine-assisted assembly of small plastic components.",Completed vocational training or work experience in machine operation or production preferred but not required; basic knowledge of machine operation and manufacturing.,"Family-oriented work atmosphere, 24 days annual leave (negotiable), shift allowances, individual additional benefits, company events, full-time position with pay based on qualification.",On-site,https://www.stepstone.de/stellenangebote--Produktionsmitarbeiter-in-m-w-d-gesucht-langfristige-Perspektive-im-Familienbetrieb-in-VZ-Altlandsberg-Carsten-Hein-Werkzeugbau--14192790-inline.html,Altlandsberg,,job-251,LOGISTICS
